response,cv,region,identity,experience,date,ssyk1,vacancy,sent,ssyk
"",3,Malmö,3,1,2018-03-21,8,831,2018-03-21,8213
"",2,Malmö,2,2,2018-03-21,8,831,2018-03-22,8213
"",1,Malmö,1,3,2018-03-21,8,831,2018-03-23,8213
Ja,2,Malmö,1,1,2018-10-24,9,1340,2018-10-23,9111
"",1,Malmö,4,3,2018-10-24,9,1340,2018-10-24,9111
"",3,Malmö,2,2,2018-10-24,9,1340,2018-10-25,9111
"",2,Malmö,3,1,2018-08-14,4,992,2018-08-13,4119
"",1,Malmö,2,2,2018-08-14,4,992,2018-08-14,4119
"",3,Malmö,4,3,2018-08-14,4,992,2018-08-15,4119
Intresserad,1,Malmö,1,1,2018-03-21,5,1822,2018-03-21,5225
"",2,Malmö,3,3,2018-03-21,5,1822,2018-03-22,5225
Intresserad,3,Malmö,2,2,2018-03-21,5,1822,2018-03-23,5225
"",3,Malmö,2,3,2018-03-21,5,92,2018-03-21,5230
"",1,Malmö,1,1,2018-03-21,5,92,2018-03-22,5230
"",2,Malmö,4,2,2018-03-21,5,92,2018-03-23,5230
Ja,3,Malmö,4,3,2018-05-16,5,3261,2018-05-15,5120
Ja,2,Malmö,1,2,2018-05-16,5,3261,2018-05-16,5120
"",1,Malmö,3,1,2018-05-16,5,3261,2018-05-17,5120
"",3,Malmö,4,3,2018-08-17,5,1003,2018-08-16,5343
"",1,Malmö,2,2,2018-08-17,5,1003,2018-08-19,5343
"",2,Malmö,1,1,2018-08-17,5,1003,2018-08-20,5343
"",2,Malmö,4,1,2018-05-04,5,1432,2018-05-03,5131
Ja,3,Malmö,2,2,2018-05-16,5,1841,2018-05-15,5131
"",3,Malmö,3,1,2018-10-31,5,2227,2018-10-31,5131
"",1,Malmö,3,3,2018-05-04,5,1432,2018-05-06,5131
"",2,Malmö,4,1,2018-05-16,5,1841,2018-05-16,5131
"",2,Malmö,4,3,2018-10-31,5,2227,2018-11-01,5131
"",3,Malmö,2,2,2018-05-04,5,1432,2018-05-07,5131
"",1,Malmö,3,3,2018-05-16,5,1841,2018-05-17,5131
"",1,Malmö,1,2,2018-10-31,5,2227,2018-11-02,5131
Ja,3,Malmö,2,1,2018-04-10,9,407,2018-04-09,9332
"",2,Malmö,1,3,2018-04-10,9,407,2018-04-10,9332
"",1,Malmö,3,2,2018-04-10,9,407,2018-04-11,9332
"",1,Malmö,2,2,2018-08-14,9,399,2018-08-13,9411
"",3,Malmö,3,3,2018-08-14,9,399,2018-08-14,9411
"",2,Malmö,4,1,2018-08-14,9,399,2018-08-15,9411
"",1,Stockholm,4,1,2018-09-14,3,341,2018-09-13,3322
"",2,Stockholm,3,2,2018-09-14,3,341,2018-09-16,3322
"",3,Stockholm,2,3,2018-09-14,3,341,2018-09-17,3322
"",2,Stockholm,1,2,2018-05-23,4,738,2018-05-22,4225
"",3,Stockholm,3,3,2018-05-23,4,738,2018-05-23,4225
"",1,Stockholm,4,1,2018-05-23,4,738,2018-05-24,4225
Ja,2,Stockholm,1,2,2018-05-16,5,578,2018-05-15,5223
Ja,3,Stockholm,2,3,2018-05-16,5,578,2018-05-16,5223
"",1,Stockholm,4,1,2018-05-16,5,578,2018-05-17,5223
Ja,1,Stockholm,2,2,2018-04-16,5,1521,2018-04-15,5342
Ja,3,Stockholm,4,3,2018-04-16,5,1521,2018-04-16,5342
Ja,2,Stockholm,1,1,2018-04-16,5,1521,2018-04-17,5342
"",3,Stockholm,4,1,2018-09-07,5,1465,2018-09-06,5321
